landngComptQy,shipngComptQy,y
98,190,0
26,90,0
14,99,0
29,74,0
45,46,0
83,11,0
47,90,0
6,86,0
854,355,1
429,319,0
795,819,1
2740,2307,2
1945,2283,1
1429,2239,1
66,78,0
1594,464,1
552,1062,1
139,129,0
909,664,1
2777,2033,2
1649,1619,1
361,583,0
6,45,0
309,234,0
370,313,0
336,249,0
2762,1483,1
396,118,0
35,593,0
0,9,0
89,61,0
711,676,1
182,123,0
1073,1217,1
568,242,0
1048,581,1
26,144,0
281,170,0
451,351,0
11,70,0
660,563,1
239,171,0
72,326,0
656,517,1
418,349,0
3824,559,1
1540,349,1
710,584,1
226,157,0
341,169,0
1090,1655,1
91,90,0
274,153,0
1193,1450,1
252,305,0
351,16,0
293,320,0
1107,1072,1
0,1137,1
2011,2288,1
359,249,0
247,162,0
294,166,0
31,122,0
31,44,0
342,438,0
386,49,0
282,587,0
321,0,0
139,0,0
782,752,1
88,119,0
272,205,0
1383,326,1
1036,1447,1
251,409,0
385,323,0
342,0,0
404,321,0
31,295,0
740,645,1
169,0,0
249,431,0
444,893,1
0,20,0
831,173,0
327,181,0
228,204,0
1620,2482,1
1243,75,1
599,8,0
75,169,0
357,419,0
0,242,0
2292,561,1
552,139,0
762,1137,1
880,592,1
955,683,1
1141,1153,1
149,151,0
297,181,0
1724,1150,1
0,311,0
126,8,0
57,149,0
1806,1154,1
528,733,1
1373,747,1
262,186,0
1161,234,1
186,58,0
1384,865,1
1259,1504,1
270,238,0
60,60,0
391,416,0
269,319,0
204,213,0
423,253,0
194,0,0
1951,857,1
66,7,0
272,181,0
2272,1483,1
0,848,0
445,596,0
297,176,0
1432,1149,1
441,508,0
672,272,0
299,86,0
427,0,0
887,1442,1
125,0,0
306,565,0
365,933,1
207,301,0
965,1353,1
522,601,1
3203,1591,2
1422,2386,1
180,121,0
164,128,0
495,506,0
202,204,0
20,50,0
424,402,0
1226,1849,1
312,822,1
9,119,0
1987,1432,1
890,532,1
29,169,0
159,147,0
384,181,0
966,2424,1
950,524,1
328,235,0
187,322,0
408,419,0
1635,1931,1
886,1200,1
376,257,0
2761,2842,2
64,64,0
224,230,0
310,166,0
300,366,0
939,2006,1
91,85,0
226,813,0
330,210,0
455,291,0
0,60,0
744,933,1
294,78,0
142,1194,1
434,490,0
866,822,1
353,98,0
1064,802,1
633,477,1
88,215,0
142,170,0
702,492,1
176,0,0
380,305,0
308,160,0
227,346,0
316,283,0
2699,1667,1
650,1080,1
174,236,0
797,399,1
675,662,1
1346,221,1
2,163,0
405,876,1
18,118,0
421,180,0
145,266,0
198,159,0
266,204,0
127,723,0
141,169,0
24,126,0
412,592,0
1021,919,1
749,1163,1
449,385,0
636,723,1
499,440,0
3084,2136,2
416,983,1
262,122,0
265,123,0
1327,755,1
714,649,1
143,81,0
146,0,0
143,563,0
302,288,0
63,2,0
261,187,0
129,872,0
131,95,0
296,269,0
232,165,0
2711,2172,2
1713,1498,1
382,269,0
295,136,0
226,181,0
513,1061,1
260,332,0
3,63,0
167,609,0
360,344,0
378,363,0
307,271,0
0,154,0
22,131,0
301,222,0
324,1193,1
407,263,0
416,346,0
0,79,0
14,74,0
358,204,0
726,852,1
380,0,0
125,60,0
67,233,0
47,79,0
760,8,0
766,640,1
1,60,0
230,214,0
291,251,0
69,16,0
5,32,0
48,62,0
467,344,0
1103,1468,1
413,318,0
570,435,0
1137,617,1
312,246,0
86,145,0
4,43,0
74,72,0
486,27,0
1379,883,1
219,124,0
426,93,0
419,1624,1
24,0,0
322,157,0
386,1236,1
648,766,1
2454,1304,1
459,230,0
170,157,0
81,120,0
509,470,0
423,20,0
494,600,1
158,65,0
678,1335,1
1188,689,1
1542,638,1
257,310,0
271,200,0
388,0,0
314,215,0
347,339,0
102,10,0
57,202,0
394,237,0
2500,2977,2
98,175,0
920,567,1
179,82,0
1083,2290,1
452,394,0
10,106,0
566,555,1
924,961,1
502,452,0
36,371,0
538,653,1
237,170,0
366,627,0
455,313,0
780,562,1
1066,1427,1
962,1151,1
372,552,0
84,373,0
429,396,0
1291,1335,1
252,173,0
63,39,0
4520,881,2
382,367,0
148,167,0
1465,2531,1
0,71,0
322,238,0
376,652,0
120,923,0
149,186,0
44,147,0
1428,2360,1
315,228,0
222,200,0
334,240,0
1697,1481,1
2395,1942,1
141,1526,1
0,94,0
293,231,0
381,264,0
161,134,0
456,583,0
308,363,0
773,2476,1
49,0,0
666,651,1
94,129,0
212,346,0
134,172,0
636,244,0
282,218,0
55,162,0
12,99,0
430,153,0
545,500,0
751,780,1
547,785,1
387,276,0
123,348,0
87,240,0
191,399,0
592,391,0
242,177,0
233,282,0
96,1340,1
366,329,0
83,148,0
3279,2119,2
1305,2665,1
432,348,0
0,720,0
456,439,0
61,69,0
246,299,0
153,174,0
161,233,0
103,99,0
590,607,1
40,41,0
298,228,0
875,748,1
141,133,0
40,27,0
44,832,0
326,228,0
336,240,0
135,72,0
90,167,0
438,744,1
43,667,0
41,197,0
153,130,0
401,312,0
480,329,0
474,203,0
149,66,0
161,232,0
1109,1409,1
810,2623,1
203,198,0
35,8,0
1918,2456,1
167,185,0
4,664,0
303,284,0
490,336,0
93,132,0
317,920,1
36,103,0
0,140,0
641,276,0
181,191,0
6,102,0
49,89,0
1443,485,1
449,97,0
0,369,0
322,871,1
185,242,0
146,183,0
466,24,0
277,578,0
147,299,0
41,148,0
517,277,0
1068,134,1
30,167,0
153,105,0
2131,1431,1
1071,3822,2
1129,1608,1
819,1163,1
360,74,0
1382,1491,1
471,598,0
171,146,0
1307,2460,1
616,602,1
189,205,0
449,314,0
86,160,0
130,485,0
66,138,0
110,105,0
410,261,0
1303,1658,1
204,109,0
35,124,0
506,515,0
383,360,0
242,311,0
272,206,0
608,607,1
1213,1309,1
6,348,0
96,69,0
124,144,0
224,164,0
40,1,0
840,529,1
494,539,0
413,1277,1
161,323,0
265,167,0
223,201,0
222,537,0
329,557,0
68,110,0
21,260,0
1108,418,1
103,85,0
745,30,0
159,251,0
1337,880,1
654,614,1
1254,1094,1
481,2176,1
531,604,1
41,30,0
48,138,0
284,644,0
432,640,0
1210,413,1
234,159,0
597,871,1
2,144,0
403,23,0
531,41,0
399,415,0
2216,919,1
56,72,0
907,759,1
139,752,0
4,48,0
0,540,0
775,1210,1
1515,627,1
1471,0,1
470,369,0
946,1543,1
1765,1694,1
283,270,0
108,20,0
55,83,0
514,795,1
129,124,0
846,699,1
291,209,0
155,130,0
665,85,0
268,1676,1
994,1070,1
304,1073,1
737,998,1
299,512,0
160,246,0
220,528,0
145,1236,1
554,434,0
3653,3225,2
490,432,0
266,249,0
367,270,0
349,244,0
226,125,0
336,355,0
9,313,0
7,68,0
84,207,0
142,127,0
307,387,0
156,67,0
284,143,0
716,475,1
69,990,0
609,1148,1
54,191,0
348,211,0
356,113,0
2033,739,1
2129,763,1
338,385,0
512,490,0
1119,970,1
933,827,1
13,52,0
241,204,0
112,154,0
269,314,0
73,950,0
69,667,0
156,130,0
304,615,0
266,130,0
921,921,1
447,274,0
474,590,0
223,216,0
143,0,0
237,167,0
255,121,0
143,198,0
279,222,0
3,2,0
160,177,0
390,341,0
3,174,0
12,107,0
2633,1853,1
178,283,0
306,326,0
417,241,0
1000,1438,1
790,791,1
1899,1438,1
1396,1290,1
280,589,0
498,345,0
2187,1799,1
499,0,0
958,212,1
300,112,0
2787,2015,2
265,648,0
277,439,0
631,559,1
0,122,0
347,481,0
571,1259,1
213,119,0
21,72,0
201,523,0
1060,122,1
92,215,0
131,106,0
233,258,0
172,101,0
26,27,0
123,94,0
758,1824,1
213,216,0
315,207,0
474,263,0
0,3,0
1363,172,1
498,503,0
26,19,0
152,221,0
15,96,0
284,244,0
54,66,0
333,303,0
1135,2079,1
688,500,1
3778,3236,2
809,479,1
52,3,0
1177,3162,1
2006,14,1
120,85,0
192,153,0
141,64,0
902,1239,1
178,374,0
272,485,0
0,146,0
273,183,0
246,221,0
2398,1839,1
1514,845,1
286,195,0
623,27,0
506,250,0
183,139,0
297,253,0
697,265,0
147,0,0
116,132,0
407,424,0
455,745,1
1863,5,1
34,5,0
296,154,0
776,582,1
85,165,0
194,221,0
935,555,1
3557,1,1
522,706,1
271,175,0
747,232,0
97,61,0
179,109,0
95,102,0
391,75,0
488,523,0
303,214,0
400,0,0
2264,1122,1
69,651,0
160,119,0
0,259,0
1608,2368,1
409,0,0
166,162,0
104,55,0
748,276,0
1051,1508,1
66,52,0
871,730,1
292,135,0
275,444,0
322,173,0
918,1251,1
704,573,1
77,177,0
404,311,0
895,1278,1
755,471,1
860,1213,1
383,59,0
452,366,0
899,609,1
1979,584,1
1419,2264,1
108,94,0
195,108,0
275,199,0
1386,2357,1
145,82,0
209,945,1
300,162,0
349,237,0
2043,659,1
95,199,0
729,2144,1
1134,999,1
55,24,0
0,9,0
899,1154,1
1028,1338,1
129,84,0
730,435,1
766,411,1
362,51,0
187,180,0
340,182,0
473,785,1
418,442,0
883,965,1
0,220,0
88,81,0
52,130,0
474,446,0
9,57,0
339,169,0
1494,1855,1
976,10,0
0,86,0
103,17,0
1590,1212,1
257,0,0
60,67,0
1272,525,1
80,294,0
381,264,0
2,26,0
544,759,1
493,272,0
48,144,0
136,150,0
236,163,0
208,83,0
11,62,0
127,93,0
313,257,0
178,112,0
3172,2049,2
927,204,1
378,690,0
472,904,1
485,841,1
823,417,1
351,1902,1
361,563,0
275,314,0
1321,1009,1
95,223,0
870,832,1
50,153,0
104,537,0
257,249,0
323,245,0
190,451,0
576,834,1
705,784,1
28,25,0
555,513,0
2891,2808,2
276,295,0
841,962,1
110,387,0
1298,383,1
511,207,0
267,126,0
1002,1039,1
1565,2809,1
1110,1370,1
300,272,0
461,363,0
721,738,1
501,201,0
239,156,0
379,626,0
260,163,0
159,60,0
0,254,0
452,6,0
53,777,0
10,40,0
360,106,0
